cmi.interaction_answered,test_completed,quiz_viewed,quiz_receive,test_start,module_completed,homework_scored,homework_min_score,homework_avg_score,homework_max_score,test_min_score,test_avg_score,test_max_score,Place_in_course,Place_in_institution,successful_homeworks,successful_tests
0.7368421052631577,0.13157894736842105,0.75,0.75,0.75,0.058823529411764705,0.06451612903225806,1.0,1.0,1.0,0.4166666666666667,0.6067739938080496,1.0,0.6000000000000002,0.41509433962264153,0.06451612903225806,0.13157894736842105
1.0,0.6842105263157895,1.0,1.0,1.0,0.6470588235294118,0.6774193548387096,0.2,0.8571428571428573,1.0,0.0,0.5640668730650158,0.0,0.7250000000000001,0.5094339622641509,0.6774193548387096,0.6842105263157895
0.7368421052631577,0.3421052631578947,0.75,0.75,0.75,0.29411764705882354,0.22580645161290322,0.0,0.7714285714285714,1.0,0.11111111111111112,0.0,0.375,0.325,0.15094339622641506,0.22580645161290322,0.3421052631578947
0.2631578947368421,0.15789473684210525,0.25,0.25,0.25,0.14705882352941177,0.16129032258064516,0.6,0.9199999999999999,1.0,0.0,0.2817337461300307,0.0,0.6250000000000001,0.4245283018867924,0.16129032258064516,0.15789473684210525
0.9736842105263157,0.42105263157894735,1.0,1.0,1.0,0.3529411764705882,0.3870967741935484,0.0,0.5166666666666666,1.0,0.0,0.5145510835913314,0.0,0.225,0.10377358490566038,0.3870967741935484,0.42105263157894735
0.9473684210526314,0.3421052631578947,1.0,1.0,1.0,0.2647058823529412,0.29032258064516125,0.0,0.5555555555555556,1.0,0.0,0.4261795665634674,0.0,0.25,0.1132075471698113,0.29032258064516125,0.3421052631578947
0.7368421052631577,0.5789473684210527,0.75,0.75,0.75,0.5588235294117647,0.6129032258064516,0.4,0.9263157894736843,1.0,0.0,0.3374613003095978,0.0,0.9000000000000001,0.6603773584905661,0.6129032258064516,0.5789473684210527
0.7368421052631577,0.5526315789473685,0.75,0.75,0.75,0.5294117647058824,0.5806451612903225,0.2,0.8,1.0,0.0,0.41166563467492273,0.0,0.5500000000000002,0.33962264150943383,0.5806451612903225,0.5526315789473685
1.0,0.368421052631579,1.0,1.0,1.0,0.29411764705882354,0.3225806451612903,0.6,0.9,1.0,0.49370370370370337,0.49305263157894746,0.8,0.7000000000000001,0.47169811320754707,0.3225806451612903,0.368421052631579
1.0,0.5263157894736842,1.0,0.75,0.75,0.47058823529411764,0.45161290322580644,0.0,0.4142857142857143,1.0,0.0,0.6953560371517027,0.0,0.15000000000000005,0.06603773584905662,0.45161290322580644,0.5263157894736842
0.47368421052631576,0.15789473684210525,0.5,0.5,0.5,0.11764705882352941,0.12903225806451613,0.6,0.9,1.0,0.0,0.653250773993808,0.0,0.7750000000000001,0.5283018867924528,0.12903225806451613,0.15789473684210525
0.7368421052631577,0.3157894736842105,1.0,1.0,1.0,0.2647058823529412,0.29032258064516125,0.2,0.8666666666666667,1.0,0.0,0.6593436532507742,0.0,0.8000000000000002,0.5377358490566038,0.29032258064516125,0.3157894736842105
0.47368421052631576,0.23684210526315788,0.5,0.5,0.5,0.20588235294117646,0.22580645161290322,0.2,0.7428571428571429,1.0,0.0,0.6160990712074306,0.0,0.5,0.2830188679245283,0.22580645161290322,0.23684210526315788
1.0,0.7368421052631579,1.0,1.0,1.0,0.7058823529411764,0.7419354838709677,0.0,0.6347826086956522,1.0,0.0,0.831578947368421,0.0,0.4000000000000001,0.22641509433962256,0.7419354838709677,0.7368421052631579
0.2631578947368421,0.3157894736842105,0.25,0.25,0.25,0.3235294117647059,0.3225806451612903,0.6,0.8399999999999999,1.0,0.0,0.504643962848297,0.0,0.675,0.4622641509433962,0.3225806451612903,0.3157894736842105
1.0,0.2894736842105263,1.0,1.0,1.0,0.20588235294117646,0.22580645161290322,0.0,0.6,1.0,0.0,0.5070712074303405,0.0,0.35000000000000003,0.16037735849056597,0.22580645161290322,0.2894736842105263
1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9032258064516129,0.0,0.7142857142857143,1.0,0.0,0.37832817337461283,0.0,0.4250000000000001,0.2358490566037735,0.9032258064516129,0.9999999999999999
1.0,0.7105263157894737,1.0,1.0,1.0,0.6764705882352942,0.6451612903225806,0.0,0.8800000000000001,1.0,0.0,0.46006191950464387,0.0,0.7500000000000001,0.5188679245283018,0.6451612903225806,0.7105263157894737
0.2631578947368421,0.368421052631579,0.25,0.25,0.25,0.38235294117647056,0.1935483870967742,0.2,0.3,0.8,0.0,0.40557275541795684,0.0,0.05000000000000005,0.018867924528301817,0.1935483870967742,0.368421052631579
1.0,0.18421052631578946,1.0,1.0,1.0,0.08823529411764705,0.0967741935483871,0.0,0.0,0.0,0.37037037037037,0.35603715170278644,0.75,0.025000000000000026,0.00943396226415091,0.0967741935483871,0.18421052631578946
1.0,0.9736842105263158,1.0,1.0,1.0,0.9705882352941176,1.0,0.0,0.5741935483870968,1.0,0.0,0.38406439628482975,0.0,0.2750000000000001,0.12264150943396221,1.0,0.9736842105263158
0.2631578947368421,0.3421052631578947,0.25,0.25,0.25,0.3529411764705882,0.3548387096774194,0.0,0.5272727272727273,1.0,0.18518518518518556,0.23219814241486098,0.7,0.17500000000000007,0.08490566037735844,0.3548387096774194,0.3421052631578947
1.0,0.3157894736842105,1.0,1.0,1.0,0.23529411764705882,0.25806451612903225,0.2,0.32499999999999996,1.0,0.7407407407407411,0.663128173374613,0.8,0.09999999999999999,0.037735849056603765,0.25806451612903225,0.3157894736842105
1.0,0.21052631578947367,1.0,1.0,1.0,0.11764705882352941,0.12903225806451613,0.0,0.1,0.2,0.5925555555555556,0.5987517027863778,1.0,0.07499999999999997,0.028301886792452855,0.12903225806451613,0.21052631578947367
1.0,0.8157894736842105,1.0,1.0,1.0,0.7941176470588235,0.8709677419354839,0.4,0.925925925925926,1.0,0.0,0.4229102167182662,0.0,0.9250000000000002,0.7075471698113208,0.8709677419354839,0.8157894736842105
1.0,0.5,1.0,1.0,1.0,0.4411764705882353,0.4838709677419355,0.2,0.8666666666666667,1.0,0.0,0.6135727554179566,0.0,0.8250000000000002,0.5471698113207547,0.4838709677419355,0.5
1.0,0.7894736842105263,1.0,1.0,1.0,0.7647058823529411,0.8064516129032258,0.6,0.9519999999999998,1.0,0.0,0.5591331269349848,0.0,0.9750000000000001,0.8679245283018867,0.8064516129032258,0.7894736842105263
1.0,0.42105263157894735,1.0,1.0,1.0,0.3529411764705882,0.3870967741935484,0.0,0.5166666666666667,1.0,0.0,0.63343653250774,0.0,0.3000000000000001,0.13207547169811323,0.3870967741935484,0.42105263157894735
1.0,0.7105263157894737,1.0,1.0,1.0,0.6764705882352942,0.7096774193548387,0.0,0.8727272727272729,1.0,0.6666666666666666,0.6961486068111458,0.875,0.8750000000000001,0.6415094339622641,0.7096774193548387,0.7105263157894737
0.47368421052631576,0.7631578947368421,0.5,0.5,0.5,0.7941176470588235,0.8064516129032258,0.0,0.7439999999999999,1.0,0.0,0.4344685242518059,0.0,0.47500000000000003,0.27358490566037735,0.8064516129032258,0.7631578947368421
0.7368421052631577,0.39473684210526316,0.75,0.75,0.75,0.3529411764705882,0.3870967741935484,0.4,0.9166666666666666,1.0,0.0,0.8173003095975231,0.0,0.9500000000000002,0.8113207547169812,0.3870967741935484,0.39473684210526316
0.5263157894736841,0.23684210526315788,0.5,0.5,0.5,0.20588235294117646,0.1935483870967742,0.8,0.9666666666666667,1.0,0.0,0.2487100103199174,0.0,0.6500000000000001,0.4339622641509433,0.1935483870967742,0.23684210526315788
1.0,0.6578947368421052,1.0,1.0,1.0,0.6176470588235294,0.6451612903225806,0.4,0.8300000000000001,1.0,0.0,0.5219517027863778,0.0,0.5750000000000002,0.4056603773584905,0.6451612903225806,0.6578947368421052
0.05263157894736842,0.3421052631578947,0.25,0.0,0.0,0.38235294117647056,0.4193548387096774,0.0,0.5538461538461539,1.0,0.0,0.14551083591331287,0.0,0.19999999999999998,0.09433962264150936,0.4193548387096774,0.3421052631578947
0.2631578947368421,0.21052631578947367,0.25,0.25,0.25,0.20588235294117646,0.22580645161290322,0.2,0.6000000000000002,1.0,0.0,0.6780185758513935,0.0,0.37500000000000006,0.1792452830188679,0.22580645161290322,0.21052631578947367
0.7368421052631577,0.5789473684210527,0.75,0.75,0.75,0.5588235294117647,0.6129032258064516,0.4,0.8000000000000002,1.0,0.33322222222222225,0.23216099071207424,0.6,0.5250000000000001,0.2924528301886792,0.6129032258064516,0.5789473684210527
1.0,0.3421052631578947,1.0,1.0,1.0,0.2647058823529412,0.29032258064516125,0.2,0.7555555555555556,1.0,0.0,0.5764705882352943,0.0,0.45,0.2641509433962263,0.29032258064516125,0.3421052631578947
1.0,0.3157894736842105,1.0,1.0,1.0,0.23529411764705882,0.25806451612903225,0.4,0.8999999999999999,1.0,0.0,0.7201238390092877,0.0,0.8500000000000001,0.6037735849056604,0.25806451612903225,0.3157894736842105
0.0,0.02631578947368421,0.0,0.0,0.0,0.029411764705882353,0.03225806451612903,0.0,0.0,0.0,0.5555555555555556,0.33126934984520134,0.5,0.0,0.0,0.03225806451612903,0.02631578947368421
0.2631578947368421,0.02631578947368421,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.02631578947368421
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.33126934984520134,0.5,0.125,0.05660377358490559,0.0,0.0
